# The default for the spectral type given Teff should be last.

# Type    Teff     V      J      H      K      L   Lprime    M

  G3V     5780   0.00  -1.12  -1.44  -1.50  -1.55  -1.55  -1.51
  G4V     5730   0.00  -1.14  -1.47  -1.53  -1.58  -1.58  -1.54
  G5V     5680   0.00  -1.18  -1.52  -1.58  -1.63  -1.63  -1.59
  G6V     5620   0.00  -1.21  -1.58  -1.64  -1.69  -1.69  -1.64
  G7V     5545   0.00  -1.25  -1.62  -1.69  -1.74  -1.74  -1.69
  G8V     5455   0.00  -1.29  -1.69  -1.76  -1.81  -1.81  -1.75
  G9V     5350   0.00  -1.34  -1.77  -1.84  -1.90  -1.90  -1.84
  K0V     5240   0.00  -1.43  -1.88  -1.96  -2.02  -2.02  -1.95
  K1V     5135   0.00  -1.52  -2.00  -2.08  -2.15  -2.15  -2.07
  K2V     5010   0.00  -1.63  -2.13  -2.22  -2.29  -2.29  -2.20
  K3V     4805   0.00  -1.78  -2.32  -2.42  -2.50  -2.51  -2.39
  K4V     4560   0.00  -1.94  -2.52  -2.63  -2.72  -2.73  -2.59
  K5V     4340   0.00  -2.13  -2.74  -2.85  -2.95  -2.96  INDEF
  K6V     4155   0.00  -2.27  -2.91  -3.04  -3.15  -3.16  INDEF
  K7V     4040   0.00  -2.35  -3.01  -3.16  -3.27  -3.29  INDEF
  M0V     3800   0.00  -2.81  -3.48  -3.65  -3.79  -3.82  INDEF
  M1V     3680   0.00  -3.03  -3.69  -3.87  -4.02  -4.08  INDEF
  M2V     3530   0.00  -3.25  -3.91  -4.11  -4.27  -4.34  INDEF
  M3V     3380   0.00  -3.78  -4.42  -4.65  -4.85  -4.97  INDEF
  M4V     3180   0.00  -4.39  -5.01  -5.28  -5.51  -5.65  INDEF
  M5V     3030   0.00  -5.22  -5.84  -6.17  -6.46  -6.59  INDEF
  M6V     2850   0.00  -6.33  -6.99  -7.37  -7.73  -7.85  INDEF
