115 1 1.035 gauss  2.0 0  568.4 .002
116 0 0.852 gauss  2.0 0  573.3 .002
117 1 0.757 gauss  2.0 0  578.2 .002
118 0 0.969 gauss  2.0 0  583.1 .002
119 1 0.943 gauss  2.0 0  588.0 .002
120 0 0.943 gauss  2.0 0  592.9 .002
121 1 1.141 gauss  2.0 0  597.8 .002
122 0 0.965 gauss  2.0 0  602.7 .002
123 1 1.107 gauss  2.0 0  607.6 .002
124 0 1.199 gauss  2.0 0  612.5 .002
125 1 1.141 gauss  2.0 0  617.4 .002
126 0 1.043 gauss  2.0 0  622.3 .002
127 1 0.964 gauss  2.0 0  627.2 .002
128 0 0.856 gauss  2.0 0  632.1 .002
129 1 0.993 gauss  2.0 0  637.0 .002
130 0 1.160 gauss  2.0 0  641.9 .002
131 1 1.076 gauss  2.0 0  646.8 .002
132 0 0.981 gauss  2.0 0  651.7 .002
133 1 1.061 gauss  2.0 0  656.6 .002
134 0 0.811 gauss  2.0 0  661.5 .002
135 1 1.210 gauss  2.0 0  666.4 .002
136 0 0.753 gauss  2.0 0  671.3 .002
137 1 0.773 gauss  2.0 0  676.2 .002
138 0 1.202 gauss  2.0 0  681.1 .002
139 1 0.922 gauss  2.0 0  686.0 .002
140 0 1.055 gauss  2.0 0  690.9 .002
141 1 0.790 gauss  2.0 0  695.8 .002
142 0 1.064 gauss  2.0 0  700.7 .002
143 1 1.179 gauss  2.0 0  705.6 .002
144 0 0.843 gauss  2.0 0  710.5 .002
145 1 1.105 gauss  2.0 0  715.4 .002
146 0 1.208 gauss  2.0 0  720.3 .002
147 1 0.835 gauss  2.0 0  725.2 .002
148 0 1.039 gauss  2.0 0  730.1 .002
149 1 0.966 gauss  2.0 0  735.0 .002
150 0 1.191 gauss  2.0 0  739.9 .002
151 1 0.995 gauss  2.0 0  744.8 .002
152 0 0.936 gauss  2.0 0  749.7 .002
153 1 0.813 gauss  2.0 0  754.6 .002
154 0 1.190 gauss  2.0 0  759.5 .002
155 1 1.064 gauss  2.0 0  764.4 .002
156 0 0.832 gauss  2.0 0  769.3 .002
157 1 1.147 gauss  2.0 0  774.2 .002
158 0 0.967 gauss  2.0 0  779.1 .002
159 1 1.040 gauss  2.0 0  784.0 .002
160 0 0.890 gauss  2.0 0  788.9 .002
161 1 1.002 gauss  2.0 0  793.8 .002
162 0 0.999 gauss  2.0 0  798.7 .002
163 1 0.828 gauss  2.0 0  803.6 .002
164 0 0.962 gauss  2.0 0  808.5 .002
165 1 0.932 gauss  2.0 0  813.4 .002
166 0 1.166 gauss  2.0 0  818.3 .002
167 1 1.144 gauss  2.0 0  823.2 .002
168 0 0.850 gauss  2.0 0  828.1 .002
169 1 1.209 gauss  2.0 0  833.0 .002
170 0 1.089 gauss  2.0 0  837.9 .002
171 1 0.788 gauss  2.0 0  842.8 .002
172 0 1.242 gauss  2.0 0  847.7 .002
173 1 1.130 gauss  2.0 0  852.6 .002
174 0 0.977 gauss  2.0 0  857.5 .002
175 1 0.843 gauss  2.0 0  862.4 .002
176 0 0.815 gauss  2.0 0  867.3 .002
177 1 1.110 gauss  2.0 0  872.2 .002
178 0 1.098 gauss  2.0 0  877.1 .002
179 1 1.090 gauss  2.0 0  882.0 .002
180 0 1.230 gauss  2.0 0  886.9 .002
181 1 1.004 gauss  2.0 0  891.8 .002
182 0 1.237 gauss  2.0 0  896.7 .002
183 1 1.197 gauss  2.0 0  901.6 .002
184 0 1.007 gauss  2.0 0  906.5 .002
185 1 0.790 gauss  2.0 0  911.4 .002
186 0 1.233 gauss  2.0 0  916.3 .002
187 1 0.962 gauss  2.0 0  921.2 .002
188 0 1.014 gauss  2.0 0  926.1 .002
189 1 1.076 gauss  2.0 0  931.0 .002
190 0 0.978 gauss  2.0 0  935.9 .002
191 1 1.173 gauss  2.0 0  940.8 .002
192 0 1.058 gauss  2.0 0  945.7 .002
193 1 1.077 gauss  2.0 0  950.6 .002
194 0 0.970 gauss  2.0 0  955.5 .002
195 1 0.874 gauss  2.0 0  960.4 .002
196 0 0.803 gauss  2.0 0  965.3 .002
197 1 0.990 gauss  2.0 0  970.2 .002
198 0 0.783 gauss  2.0 0  975.1 .002
199 1 1.083 gauss  2.0 0  980.0 .002
200 0 1.009 gauss  2.0 0  984.9 .002
201 1 0.943 gauss  2.0 0  989.8 .002
202 0 1.071 gauss  2.0 0  994.7 .002
203 1 0.764 gauss  2.0 0  999.6 .002
204 0 0.827 gauss  2.0 0 1004.5 .002
205 1 0.938 gauss  2.0 0 1009.4 .002
206 0 0.956 gauss  2.0 0 1014.3 .002
207 1 1.094 gauss  2.0 0 1019.2 .002
208 0 1.119 gauss  2.0 0 1024.1 .002
209 1 0.957 gauss  2.0 0 1029.0 .002
210 0 0.910 gauss  2.0 0 1033.9 .002
211 1 0.827 gauss  2.0 0 1038.8 .002
212 0 1.060 gauss  2.0 0 1043.7 .002
213 1 1.154 gauss  2.0 0 1048.6 .002
214 0 1.002 gauss  2.0 0 1053.5 .002
215 1 0.797 gauss  2.0 0 1058.4 .002
216 0 0.989 gauss  2.0 0 1063.3 .002
217 1 0.810 gauss  2.0 0 1068.2 .002
218 0 1.106 gauss  2.0 0 1073.1 .002
219 1 0.863 gauss  2.0 0 1078.0 .002
220 0 1.246 gauss  2.0 0 1082.9 .002
221 1 0.963 gauss  2.0 0 1087.8 .002
222 0 0.929 gauss  2.0 0 1092.7 .002
223 1 0.835 gauss  2.0 0 1097.6 .002
224 0 0.995 gauss  2.0 0 1102.5 .002
225 1 0.897 gauss  2.0 0 1107.4 .002
226 0 0.983 gauss  2.0 0 1112.3 .002
227 1 1.187 gauss  2.0 0 1117.2 .002
228 0 1.239 gauss  2.0 0 1122.1 .002
229 1 0.900 gauss  2.0 0 1127.0 .002
230 0 0.846 gauss  2.0 0 1131.9 .002
231 1 1.096 gauss  2.0 0 1136.8 .002
232 0 1.041 gauss  2.0 0 1141.7 .002
233 1 0.968 gauss  2.0 0 1146.6 .002
234 0 0.827 gauss  2.0 0 1151.5 .002
235 1 1.108 gauss  2.0 0 1156.4 .002
236 0 1.162 gauss  2.0 0 1161.3 .002
237 1 0.884 gauss  2.0 0 1166.2 .002
238 0 0.891 gauss  2.0 0 1171.1 .002
239 1 0.974 gauss  2.0 0 1176.0 .002
240 0 1.116 gauss  2.0 0 1180.9 .002
241 1 0.830 gauss  2.0 0 1185.8 .002
242 0 0.964 gauss  2.0 0 1190.7 .002
243 1 0.963 gauss  2.0 0 1195.6 .002
244 0 0.869 gauss  2.0 0 1200.5 .002
245 1 0.962 gauss  2.0 0 1205.4 .002
246 0 0.959 gauss  2.0 0 1210.3 .002
247 1 1.182 gauss  2.0 0 1215.2 .002
248 0 1.167 gauss  2.0 0 1220.1 .002
249 1 1.124 gauss  2.0 0 1225.0 .002
250 0 1.151 gauss  2.0 0 1229.9 .002
251 1 1.218 gauss  2.0 0 1234.8 .002
252 0 1.229 gauss  2.0 0 1239.7 .002
253 1 1.108 gauss  2.0 0 1244.6 .002
254 0 1.248 gauss  2.0 0 1249.5 .002
255 1 1.135 gauss  2.0 0 1254.4 .002
256 0 0.787 gauss  2.0 0 1259.3 .002
257 1 1.156 gauss  2.0 0 1264.2 .002
258 0 0.773 gauss  2.0 0 1269.1 .002
259 1 1.129 gauss  2.0 0 1274.0 .002
260 0 1.212 gauss  2.0 0 1278.9 .002
261 1 1.092 gauss  2.0 0 1283.8 .002
262 0 1.116 gauss  2.0 0 1288.7 .002
263 1 0.892 gauss  2.0 0 1293.6 .002
264 0 1.208 gauss  2.0 0 1298.5 .002
265 1 0.795 gauss  2.0 0 1303.4 .002
266 0 0.860 gauss  2.0 0 1308.3 .002
267 1 0.967 gauss  2.0 0 1313.2 .002
268 0 0.800 gauss  2.0 0 1318.1 .002
269 1 0.902 gauss  2.0 0 1323.0 .002
270 0 0.752 gauss  2.0 0 1327.9 .002
271 1 1.164 gauss  2.0 0 1332.8 .002
272 0 1.119 gauss  2.0 0 1337.7 .002
273 1 0.932 gauss  2.0 0 1342.6 .002
274 0 0.912 gauss  2.0 0 1347.5 .002
275 1 0.806 gauss  2.0 0 1352.4 .002
276 0 1.198 gauss  2.0 0 1357.3 .002
277 1 1.242 gauss  2.0 0 1362.2 .002
278 0 1.158 gauss  2.0 0 1367.1 .002
279 1 0.881 gauss  2.0 0 1372.0 .002
280 0 0.782 gauss  2.0 0 1376.9 .002
281 1 1.000 gauss  2.0 0 1381.8 .002
282 0 1.038 gauss  2.0 0 1386.7 .002
283 1 0.872 gauss  2.0 0 1391.6 .002
284 0 0.868 gauss  2.0 0 1396.5 .002
285 1 1.079 gauss  2.0 0 1401.4 .002
286 0 0.943 gauss  2.0 0 1406.3 .002
287 1 0.825 gauss  2.0 0 1411.2 .002
288 0 0.973 gauss  2.0 0 1416.1 .002
289 1 1.061 gauss  2.0 0 1421.0 .002
290 0 0.905 gauss  2.0 0 1425.9 .002
291 1 0.954 gauss  2.0 0 1430.8 .002
292 0 0.865 gauss  2.0 0 1435.7 .002
293 1 0.761 gauss  2.0 0 1440.6 .002
294 0 0.932 gauss  2.0 0 1445.5 .002
295 1 0.818 gauss  2.0 0 1450.4 .002
296 0 1.225 gauss  2.0 0 1455.3 .002
297 1 0.949 gauss  2.0 0 1460.2 .002
298 0 1.006 gauss  2.0 0 1465.1 .002
299 1 0.880 gauss  2.0 0 1470.0 .002
300 0 0.998 gauss  2.0 0 1474.9 .002
