# ID          V    error(V)  BV  error(BV)  VR  error(VR)
#
# NGC 4147
#
  N7006-49    19.117  0.021  0.052   0.034  0.016   0.041 
  N7006-50    19.068  0.020  0.419   0.046  0.252   0.030 
  N7006-51    18.945  0.021  0.910   0.038  0.497   0.034 
  N7006-52    18.647  0.010  0.900   0.030  0.502   0.015 
  N7006-53    19.562  0.007  1.016   0.075  0.406   0.059 
  N7006-55    19.609  0.041  1.054   0.088  0.800   0.057 
  N7006-56    17.544  0.006  0.979   0.010  0.546   0.006 
  N7006-57    18.943  0.019  0.573   0.035  0.356   0.035 
  N7006-60    16.587  0.005  1.254   0.015  0.681   0.004 
  N7006-61    18.812  0.016  0.750   0.028  0.373   0.027 
  N7006-65    17.585  0.013  0.941   0.013  0.537   0.010 
  N7006-66    17.225  0.007  0.836   0.008  0.436   0.008 
  N7006-68    17.601  0.011  1.042   0.014  0.578   0.013 
  N7006-69    18.631  0.014  0.673   0.030  0.419   0.026 
  N7006-75    18.631  0.050  0.566   0.029  0.324   0.029 
  N7006-79    19.021  0.026  0.480   0.054  0.281   0.037 
  N7006-86    16.815  0.005  1.211   0.012  0.663   0.007 
  N7006-89    13.854  0.012  0.819   0.005  0.452   0.007 
  N7006-93    19.227  0.015  0.139   0.062  -0.179  0.042 
  N7006-97    18.405  0.020  0.656   0.048  0.400   0.020 
  N7006-102   18.922  0.016  0.429   0.025  0.189   0.028 
  N7006-109   19.122  0.021  0.860   0.159  0.391   0.047 
  N7006-110   17.479  0.013  1.033   0.017  0.617   0.014 
  N7006-111   17.018  0.010  1.175   0.013  0.627   0.005 
  N7006-112   13.972  0.010  1.087   0.008  0.585   0.004 
  N7006-115   18.970  0.023  1.312   0.042  0.701   0.030 
  N7006-117   18.602  0.015  0.626   0.029  0.387   0.026 
  N7006-119   18.844  0.015  0.254   0.048  0.068   0.022 
  N7006-122   18.984  0.054  0.553   0.095  0.349   0.073 
  N7006-124   18.111  0.033  0.803   0.034  0.457   0.034 
  N7006-127   17.653  0.011  1.005   0.027  0.589   0.013 
  N7006-132   16.919  0.010  1.091   0.012  0.574   0.008 
  N7006-134   15.217  0.005  0.955   0.006  0.536   0.003 
  N7006-148   18.809  0.017  0.603   0.056  0.400   0.029 
  N7006-150   19.101  0.033  0.128   0.064  -0.034  0.098 
  N7006-153   18.753  0.019  0.561   0.017  0.332   0.016 
  N7006-157   18.324  0.033  0.753   0.018  0.420   0.006 
  N7006-162   18.153  0.022  0.787   0.031  0.417   0.019 
  N7006-163   18.712  0.013  0.201   0.028  0.188   0.017 
  N7006-164   18.917  0.036  1.080   0.055  0.507   0.040 
  N7006-165   18.690  0.021  0.229   0.030  0.131   0.021 
  N7006-166   17.464  0.010  1.019   0.015  0.560   0.009 
  N7006-167   19.926  0.046  0.720   0.018  0.344   0.048 
  N7006-168   18.820  0.014  0.892   0.031  0.518   0.015 
  N7006-169   18.138  0.008  0.966   0.027  0.544   0.009 
  N7006-170   16.257  0.004  1.390   0.011  0.730   0.003 
  N7006-173   19.735  0.044  0.727   0.061  0.536   0.095 
  N7006-175   18.800  0.016  0.519   0.011  0.361   0.030 
  N7006-176   18.985  0.022  0.610   0.033  0.392   0.025 
  N7006-177   18.444  0.014  0.894   0.026  0.472   0.018 
  N7006-179   17.945  0.012  0.802   0.020  0.493   0.014 
  N7006-182   17.865  0.012  0.870   0.026  0.509   0.010 
  N7006-183   16.270  0.004  1.180   0.008  0.638   0.003 
  N7006-184   17.664  0.015  0.901   0.016  0.529   0.012 
  N7006-185   19.882  0.022  0.961   0.134  0.590   0.039 
  N7006-186   19.448  0.038  0.816   0.059  0.554   0.045 
  N7006-187   18.738  0.027  0.918   0.019  0.463   0.026 
  N7006-188   16.637  0.006  0.959   0.018  0.523   0.009 
  N7006-189   18.884  0.026  0.165   0.033  0.086   0.069 
  N7006-191   18.746  0.015  0.721   0.032  0.345   0.023 
  N7006-192   19.548  0.037  1.202   0.072  0.390   0.055 
  N7006-193   19.370  0.020  1.092   0.046  0.591   0.038 
  N7006-194   19.328  0.048  0.836   0.077  0.405   0.085 
  N7006-196   16.679  0.007  0.943   0.006  0.526   0.006 
  N7006-198   19.420  0.027  1.131   0.040  1.003   0.018 
  N7006-199   16.721  0.005  0.655   0.023  0.402   0.015 
  N7006-200   18.848  0.024  0.677   0.042  0.372   0.038 
  N7006-202   18.843  0.009  0.636   0.030  0.377   0.014 
  N7006-203   19.145  0.024  0.925   0.021  0.587   0.037 
  N7006-205   19.420  0.026  0.733   0.040  0.486   0.038 
  N7006-206   19.687  0.063  0.684   0.068  0.493   0.020 
  N7006-207   17.944  0.013  0.893   0.027  0.536   0.021 
  N7006-208   19.697  0.032  0.944   0.084  0.382   0.056 
  N7006-209   14.907  0.008  0.992   0.006  0.541   0.005 
  N7006-212   18.846  0.009  0.651   0.021  0.274   0.026 
  N7006-213   18.362  0.046  0.874   0.010  0.346   0.034 
  N7006-214   17.970  0.011  0.889   0.045  0.537   0.016 
  N7006-215   19.063  0.026  0.476   0.027  0.210   0.032 
#
# NGC 7790
#
  N7790_1     13.029  0.005  0.438   0.004  0.285   0.006 
  N7790_2     17.037  0.022  1.485   0.019  0.871   0.020 
  N7790_3     17.538  0.019  0.954   0.018  0.597   0.022 
  N7790_4     12.994  0.008  0.404   0.005  0.249   0.006 
  N7790_5     15.885  0.003  0.552   0.010  0.286   0.010 
  N7790_6     18.125  0.018  0.890   0.032  0.627   0.031 
  N7790_7     18.298  0.057  1.340   0.219  0.628   0.044 
  N7790_8     16.308  0.004  0.661   0.010  0.394   0.022 
  N7790_9     17.120  0.023  1.004   0.022  0.592   0.014 
  N7790_10    17.577  0.017  0.928   0.025  0.548   0.017 
  N7790_11    16.993  0.018  0.864   0.016  0.539   0.020 
  N7790_12    18.070  0.023  0.964   0.042  0.615   0.028 
  N7790_14    17.968  0.025  1.601   0.033  0.918   0.034 
  N7790_15    18.484  0.028  1.349   0.089  0.671   0.036 
  N7790_16    15.941  0.006  0.591   0.012  0.338   0.009 
  N7790_17    15.732  0.006  0.517   0.011  0.289   0.005 
  N7790_18    18.332  0.029  1.214   0.074  0.630   0.049 
  N7790_20    15.696  0.003  0.548   0.005  0.316   0.007 
  N7790_21    16.029  0.007  0.551   0.008  0.289   0.009 
  N7790_22    15.766  0.007  1.449   0.012  0.859   0.008 
  N7790_23    14.997  0.006  1.596   0.011  0.914   0.005 
  N7790_24    16.622  0.012  0.666   0.009  0.377   0.019 
  N7790_25    15.791  0.006  0.972   0.013  0.543   0.008 
  N7790_26    16.715  0.013  0.805   0.011  0.448   0.026 
  N7790_27    17.575  0.025  0.923   0.022  0.523   0.027 
  N7790_28    16.919  0.014  0.764   0.019  0.434   0.017 
  N7790_29    13.305  0.006  0.391   0.004  0.248   0.005 
  N7790_30    13.474  0.006  0.406   0.004  0.251   0.005 
  N7790_31    13.597  0.003  0.445   0.005  0.287   0.004 
  N7790_32    15.402  0.007  0.594   0.010  0.353   0.006 
  N7790_34    17.724  0.018  0.898   0.015  0.555   0.023 
  N7790_35    18.391  0.055  0.985   0.063  0.680   0.063 
  N7790_36    14.526  0.004  0.485   0.004  0.299   0.005 
  N7790_37    14.724  0.004  0.467   0.004  0.282   0.004 
  N7790_38    16.132  0.007  0.647   0.010  0.374   0.010 
  N7790_39    17.622  0.014  1.169   0.025  0.662   0.019 
  N7790_40    17.740  0.014  1.217   0.031  0.726   0.011 
  N7790_41    17.709  0.015  0.892   0.020  0.526   0.025 
  N7790_42    17.589  0.025  1.129   0.033  0.669   0.020 
  N7790_43    18.317  0.027  1.016   0.037  0.603   0.036 
  N7790_44    18.388  0.049  1.147   0.072  0.691   0.043 
  N7790_45    15.778  0.007  0.561   0.010  0.312   0.007 
  N7790_46    17.901  0.022  1.046   0.017  0.644   0.022 
  N7790_47    18.377  0.031  1.229   0.040  0.827   0.047 
  N7790_48    15.261  0.004  0.857   0.008  0.519   0.004 
  N7790_49    16.573  0.010  1.687   0.021  1.008   0.013 
  N7790_50    17.896  0.020  1.714   0.060  1.005   0.019 
  N7790_51    14.430  0.004  0.419   0.004  0.251   0.004 
  N7790_52    17.564  0.018  1.661   0.034  1.026   0.018 
  N7790_53    16.323  0.012  0.626   0.010  0.343   0.009 
  N7790_54    16.559  0.010  1.003   0.023  0.612   0.011 
  N7790_55    17.949  0.018  0.985   0.033  0.563   0.026 
  N7790_56    18.301  0.027  0.874   0.042  0.579   0.038 
  N7790_57    18.788  0.029  1.177   0.093  0.691   0.033 
  N7790_58    15.294  0.003  0.610   0.005  0.350   0.005 
  N7790_59    15.976  0.006  0.559   0.005  0.315   0.007 
  N7790_60    16.804  0.014  1.177   0.021  0.640   0.010 
  N7790_61    18.636  0.024  1.030   0.071  0.493   0.054 
  N7790_62    15.423  0.004  1.667   0.005  0.974   0.003 
  N7790_63    18.554  0.043  1.179   0.096  0.546   0.070 
  N7790_64    18.733  0.036  1.293   0.109  0.594   0.045 
  N7790_65    16.045  0.005  0.709   0.005  0.409   0.008 
  N7790_66    15.939  0.006  0.572   0.009  0.328   0.010 
  N7790_67    17.013  0.012  0.859   0.015  0.522   0.013 
  N7790_68    17.689  0.021  1.114   0.031  0.668   0.010 
  N7790_69    17.876  0.016  1.032   0.033  0.586   0.021 
  N7790_70    18.407  0.022  1.160   0.063  0.688   0.030 
  N7790_71    18.429  0.047  1.331   0.078  0.654   0.054 
  N7790_72    14.248  0.005  0.541   0.004  0.335   0.004 
  N7790_73    16.161  0.007  1.144   0.010  0.634   0.007 
  N7790_74    17.407  0.024  0.960   0.030  0.596   0.016 
  N7790_75    17.898  0.020  0.944   0.036  0.601   0.026 
  N7790_76    18.194  0.054  0.745   0.061  0.414   0.047 
  N7790_77    16.012  0.005  0.726   0.009  0.445   0.008 
  N7790_78    18.025  0.023  0.927   0.053  0.572   0.037 
  N7790_79    17.927  0.024  1.260   0.053  0.712   0.029 
  N7790_80    15.616  0.004  0.541   0.006  0.297   0.006 
  N7790_81    17.374  0.018  1.668   0.026  0.971   0.018 
  N7790_82    13.152  0.006  0.489   0.004  0.271   0.005 
  N7790_83    16.078  0.005  0.792   0.007  0.467   0.009 
  N7790_84    18.485  0.066  1.182   0.078  0.831   0.051 
  N7790_85    16.685  0.018  0.967   0.020  0.574   0.019 
  N7790_86    16.724  0.010  0.995   0.006  0.617   0.012 
  N7790_87    17.860  0.014  0.861   0.031  0.557   0.024 
  N7790_88    15.795  0.004  0.993   0.004  0.566   0.004 
  N7790_89    18.709  0.041  0.975   0.082  0.713   0.029 
  N7790_90    17.654  0.014  0.895   0.021  0.566   0.020 
  N7790_91    18.229  0.031  1.136   0.059  0.619   0.038 
  N7790_92    18.518  0.043  1.000   0.083  0.597   0.069 
  N7790_93    18.066  0.016  1.327   0.042  0.822   0.024 
  N7790_94    16.129  0.008  0.694   0.007  0.422   0.006 
  N7790_95    15.829  0.006  0.583   0.007  0.341   0.007 
  N7790_96    15.787  0.009  0.708   0.004  0.416   0.006 
  N7790_97    13.189  0.005  1.491   0.005  0.819   0.004 
  N7790_98    14.126  0.003  0.800   0.003  0.474   0.003 
  N7790_99    16.761  0.018  0.791   0.017  0.435   0.009 
  N7790_100   17.820  0.021  1.143   0.034  0.692   0.027 
  N7790_101   18.078  0.021  1.005   0.037  0.634   0.033 
  N7790_103   16.761  0.010  0.779   0.012  0.436   0.008 
  N7790_104   15.227  0.006  0.538   0.006  0.318   0.007 
  N7790_105   15.704  0.005  1.896   0.015  1.092   0.007 
  N7790_106   17.433  0.019  1.139   0.021  0.679   0.017 
  N7790_107   15.362  0.005  1.939   0.013  1.116   0.007 
  N7790_108   17.175  0.016  1.147   0.024  0.654   0.016 
  N7790_109   17.433  0.016  0.997   0.024  0.599   0.029 
  N7790_110   16.683  0.019  1.145   0.020  0.717   0.016 
  N7790_111   18.598  0.029  1.055   0.040  0.668   0.032 
  N7790_112   16.528  0.006  1.119   0.014  0.668   0.009 
  N7790_113   14.868  0.004  0.484   0.005  0.316   0.005 
  N7790_114   17.459  0.015  1.037   0.020  0.617   0.016 
  N7790_115   17.616  0.019  1.142   0.024  0.668   0.025 
  N7790_116   17.833  0.016  1.593   0.039  0.988   0.024 
  N7790_117   18.177  0.015  1.034   0.052  0.646   0.060 
  N7790_119   18.285  0.025  0.943   0.061  0.612   0.022 
  N7790_121   17.994  0.038  1.005   0.091  0.580   0.035 
  N7790_122   18.509  0.022  1.674   0.190  1.284   0.030 
  N7790_123   15.671  0.007  1.447   0.015  0.876   0.008 
  N7790_124   18.451  0.041  1.092   0.055  0.634   0.042 
  N7790_125   17.307  0.020  1.093   0.039  0.584   0.016 
  N7790_126   17.629  0.011  0.954   0.016  0.564   0.021 
  N7790_127   17.830  0.025  1.092   0.056  0.650   0.021 
